city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Ataşehir,Yeni Çamlıca,Daire,2,1,499.999 TL,31 Gün Önce,80 m2,9. Kat,21 Yaşında,Kombi,15 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,100 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Sarıyer,Ayazağa,Daire,1,1,1.275.000 TL,9 Gün Önce,68 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),35 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,Kuzey,Doğalgaz
İstanbul,Beşiktaş,Cihannüma,Daire,2,1,800.000 TL,9 Gün Önce,100 m2,4. Kat,35 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,,Evet,Doğu,Doğalgaz
İstanbul,Fatih,Seyyid Ömer,Daire,2,1,650.000 TL,Bugün,80 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Sancaktepe,Osmangazi,Daire,3,1,355.000 TL,4 Gün Önce,150 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Cihannüma,Daire,4,1,1.000.000 TL,9 Gün Önce,130 m2,2. Kat,35 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,60 TL,,Evet,Güney,Doğalgaz
İstanbul,Kağıthane,Seyrantepe,Daire,3,1,410.000 TL,3 Gün Önce,160 m2,Çatı Katı,22 Yaşında,Kombi,6 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Arsa,30 TL,Hayır,Evet,"Doğu,",Doğalgaz
İstanbul,Bahçelievler,Bahçelievler,Daire,2,1,620.000 TL,3 Gün Önce,90 m2,2. Kat,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,,,,,,,
İstanbul,Maltepe,İdealtepe,Daire,2,2,629.000 TL,Dün,140 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Sarıyer,Maslak,Residence,3,1,1.250.000 TL,4 Gün Önce,117 m2,21 ve üzeri,4 Yaşında,Merkezi (Pay Ölçer),33 Katlı,Uygun,Eşyalı Değil,1,Çelik,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Şişli,Gülbahar,Daire,2,1,230.000 TL,Dün,75 m2,2. Kat,14 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,,,,,,,,,
İstanbul,Beylikdüzü,Marmara,Daire,1,1,186.000 TL,28 Gün Önce,95 m2,3. Kat,5 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Evet,Evet,"Kuzey,",Doğalgaz
İstanbul,Beşiktaş,Ulus,Daire,3,1,2.500.000 TL,Dün,180 m2,1. Kat,30 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat İrtifakı,600 TL,Hayır,,,Doğalgaz
İstanbul,Maltepe,İdealtepe,Daire,3,2,1.250.000 TL,Bugün,230 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat İrtifakı,100 TL,Hayır,Evet,Batı,Doğalgaz
İstanbul,Bakırköy,Ataköy 2-5-6. Kısım,Daire,3,1,2.200.000 TL,2 Gün Önce,145 m2,Kot 1,50 Yaşında,Merkezi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,650 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Beylikdüzü,Barış,Daire,1,1,205.000 TL,30 Gün Önce,75 m2,5. Kat,7 Yaşında,Kombi,12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Evet,Evet,"Kuzey,",Doğalgaz
